InvoiceNo,haircut,hairstylist,location,quantity
50,eyebrow,viraj,achole,1
51,hair,kasim,achole,1
51,beard,kasim,achole,1
52,straightning,hasim,achole,1
52,hair-spa,hasim,achole,1
53,hair,kasim,achole,1
53,dye,kasim,achole,1
54,facial,viraj,achole,1
54,eyebrow,kasim,achole,1
55,hair,hasim,achole,1
55,beard,hasim,achole,1
56,anti-dandruff,kasim,achole,1
56,stylinig,viraj,achole,1
57,hair,viraj,achole,1
57,dye,viraj,achole,1
58,curls,viraj,achole,1
58,curls,hasim,achole,1
59,facial,viraj,achole,1
59,anti-dandruff,kasim,achole,1
60,hair,viraj,achole,1
60,hair-spa,hasim,achole,1
61,hair,kasim,achole,1
61,beard,kasim,achole,1
62,curls,kasim,achole,1
62,eyebrow,hasim,achole,1
63,facial,kasim,achole,1
63,anti-dandruff,hasim,achole,1
64,hair,kasim,achole,1
64,eyebrow,hasim,achole,1
65,hair,kasim,achole,1
65,beard,hasim,achole,1
66,dye,kasim,achole,1
66,hair-spa,viraj,achole,1
67,hair,kasim,achole,1
67,beard,viraj,achole,1
68,stylinig,hasim,achole,1
68,straightning,hasim,achole,1
69,facial,kasim,achole,1
69,anti-dandruff,kasim,achole,1
70,dye,hasim,achole,1
70,eyebrow,hasim,achole,1
71,hair,kasim,achole,1
71,dye,viraj,achole,1
72,eyebrow,viraj,achole,1
72,beard,kasim,achole,1
73,hair,hasim,achole,1
73,beard,viraj,achole,1
74,beard,hasim,achole,1
74,hair-spa,viraj,achole,1
75,hair,viraj,achole,1
75,dye,viraj,achole,1
76,curls,hasim,achole,1
76,curls,hasim,achole,1
77,facial,hasim,achole,1
77,anti-dandruff,viraj,achole,1
78,eyebrow,hasim,achole,1
78,facial,viraj,achole,1
79,facial,hasim,achole,1
79,anti-dandruff,viraj,achole,1
80,straightning,kasim,achole,1
80,beard,hasim,achole,1
81,facial,viraj,achole,1
81,anti-dandruff,kasim,achole,1
82,hair-spa,viraj,achole,1
82,beard,viraj,achole,1
83,facial,viraj,achole,1
83,anti-dandruff,hasim,achole,1
84,curls,viraj,achole,1
84,beard,viraj,achole,1
85,facial,viraj,achole,1
85,anti-dandruff,hasim,achole,1
86,hair,viraj,achole,1
86,curls,hasim,achole,1
87,hair,kasim,achole,1
87,beard,viraj,achole,1
88,facial,hasim,achole,1
88,hair-spa,viraj,achole,1
89,facial,kasim,achole,1
89,anti-dandruff,hasim,achole,1
90,eyebrow,viraj,achole,1
90,hair,hasim,achole,1
91,hair,viraj,achole,1
91,beard,kasim,achole,1
92,straightning,hasim,achole,1
92,beard,hasim,achole,1
93,hair,viraj,achole,1
93,beard,hasim,achole,1
94,eyebrow,viraj,achole,1
94,stylinig,kasim,achole,1
95,hair,kasim,achole,1
95,dye,hasim,achole,1
96,straightning,viraj,achole,1
96,beard,hasim,achole,1
97,hair,kasim,achole,1
97,dye,hasim,achole,1
98,eyebrow,kasim,achole,1
98,stylinig,viraj,achole,1
99,facial,viraj,achole,1
99,anti-dandruff,hasim,achole,1
100,stylinig,hasim,achole,1
100,curls,viraj,achole,1
